Account   Byte-offset  
1         0            
2         48           
3         96           
4         144          
5         192          
6         240          
7         288          
8         336          
9         384          
10        432          
11        480          
12        528          
13        576          
14        624          
15        672          
16        720          
17        768          
18        816          
19        864          
20        912          
21        960          
22        1008         
23        1056         
24        1104         
25        1152         
26        1200         
27        1248         
28        1296         
29        1344         
30        1392         
31        1440         
32        1488         
33        1536         
34        1584         
35        1632         
36        1680         
37        1728         
38        1776         
39        1824         
40        1872         
41        1920         
42        1968         
43        2016         
44        2064         
45        2112         
46        2160         
47        2208         
48        2256         
49        2304         
50        2352         
51        2400         
52        2448         
53        2496         
54        2544         
55        2592         
56        2640         
57        2688         
58        2736         
59        2784         
60        2832         
61        2880         
62        2928         
63        2976         
64        3024         
65        3072         
66        3120         
67        3168         
68        3216         
69        3264         
70        3312         
71        3360         
72        3408         
73        3456         
74        3504         
75        3552         
76        3600         
77        3648         
78        3696         
79        3744         
80        3792         
81        3840         
82        3888         
83        3936         
84        3984         
85        4032         
86        4080         
87        4128         
88        4176         
89        4224         
90        4272         
91        4320         
92        4368         
93        4416         
94        4464         
95        4512         
96        4560         
97        4608         
98        4656         
99        4704         
100       4752         
100       4752         
